,0
2833,.무심코 쓰는 플라스틱을 의식적으로 사용하지 않음으로써 환경오염의 심각성에 대해 나부터 각성하고 주변으로 확산 실천하게 만드는 것이다
2834,.플로깅은 건강과 환경을 동시에 챙길 수 있다
2835,는 점에서 최근 인기를 끌고 있다
2836,.두 달 동안 포항 경주 안동의 공원 해안가 주택가 등지에서 .회 정도 실시한다
2837,.재활용 아이스 팩 소상공인 지원 운동은 대 단지 아파트를 지정해 입구에 아이스 팩 수거함을 설치하고 수거된 아이스 팩을 깨끗이 세척해 지역의 상인들에게 다
2838,시 전달한다
2839,.경북도와 경북지속가능발전협의회는 앞으로 제로플라스틱 도민 실천단을 .개 시.군에서 점차적으로 확대하고 지역의 제로웨이스트 샵과 자원순환마을 조성을 지원하며 일회용 플라스틱 사용을 줄이기 위한 다
2840,양한 실천 사업을 추진해나갈 계획이다
2841,.권경수 경북도 환경정책과장은 .가 넘는 국민들이 플라스틱 폐기물을 감축해야 한다
2842,는 입장.이라며 .이제부터라도 플라스틱 없는 생활을 일상화 하는 국민적 공감대가 절실하다
2843,.고 강조했다
2844,.안동김재산 기자 . . 국민일보. 무단전재 및 수집 재배포금지다
2845,싱크대에 설치된 분쇄형 음식물 처리기. 게티이미지뱅크.년 국내에 시판된 주방용 오물분쇄기음식물분쇄기가 환경오염 문제로 .년 만에 퇴출 수순을 밟는다
2846,. .년 전 법.규제 완화를 계기로 관련 산업에 뛰어든 음식물분쇄기 제조.유통 업체들은 정부가 경제적 손실을 입히고 혼란을 초래했다
2847,며 강력히 반발하고 있다
2848,.일 국민일보 취재를 종합하면 환경부는 음식물분쇄기 사업 규제를 전면 재검토하기로 하고 음식물분쇄기 신규 제조.판매를 금지하는 내용을 담아 장관 보고까지 완료한 것으로 확인됐다
2849,. 환경부 관계자는 .음식물분쇄기를 신규로 제조.판매하는 행위를 금지할 것인지에 대해 국회와 조금 더 논의한 후 결정할 계획.이라며 .시중에 판매된 제품의 사용은 유지된다
2850,.고 말했다
2851,.환경부는 음식물분쇄기 제조.판매 금지를 대비해 기존 업체들을 음식물감량기 업종으로 전환토록 하는 방안을 검토 중이다
2852,. 음식물쓰레기를 가열.건조해 양을 줄이거나 퇴비.사료로 만드는 기기를 제조.유통하면 인센티브를 주는 방식이 유력하다
2853,. 향후 문제가 불거질 수 있다
2854,는 우려에 대해서는 .제품은 .년 정도밖에 사용할 수 없다
2855,.며 .대응책을 고민하겠다
2856,.고 설명했다
2857,.음식물분쇄기는 .년 국내에 처음 시판됐다
2858,가 악취 문제 등으로 .년부터 판매와 사용이 금지됐다
2859,. 이후 이명박 정부 때인 .년 가정용에 한해 음식물 일부만 방류하는 식으로 다
2860,시 허용했다
2861,. 제품 인증에는 .음식물쓰레기 중 .까지만 용수와 섞어 하수도로 흘려보내야 한다
2862,.는 조건을 붙였다
2863,. 나머지 .는 분리배출을 원칙으로 한 것이다
2864,.정부의 결정은 정책 실패로 이어졌다
2865,. 음식물분쇄기 제조.유통 업체들은 소비자가 수십.수백만원을 내고 .만 직방류하는 기기를 사지 않으리라고 판단해 불법개조 제품을 판매했다
2866,. 지난해에는 음식물분쇄기 업체 .곳에서 .년간 판매한 불법개조 제품 .만.대약 .억원어치가 적발되기도 했다
2867,. 최근 환경부는 주방용 오물이 방류된 하수를 정화할 때 일반 하수보다
2868, .의 에너지가 더 사용되고 하수 찌꺼기는 .가 더 발생한다
2869,는 연구용역 결과도 확보했다
2870,. 불법개조와 환경오염은 음식물분쇄기 퇴출의 이유가 됐다
2871,.관련 업계에선 환경부가 음식물분쇄기 사업 규제를 완화하며 제조.유통 업체의 진입장벽을 낮춘 주체라는 점에서 혼란을 자초했다
2872,는 지적이 나온다
2873,. 업계의 경제적 손실 역시 무시할 수 없다
2874,. .년 환경부는 .분류식 배출 가능 지역에서 . 음식물 쓰레기 방류를 허용한다
2875,.는 내용의 하수도법 개정안을 입법예고했다
2876,. 개정안에는 사업을 장려하는 취지의 내용까지 담았다
2877,. 윤성규 당시 환경부 장관이 개정안 시행 철회를 지시해 백지화됐지만 많은 업체가 사업에 뛰어드는 유인책이 됐다
2878,. 김해범 주방용음식물분쇄기협회장은 .음식물분쇄기 산업화는 정부가 직접 주도한 것으로 전국에 음식물분쇄기 사용자는 약 .만명 종사자는 약 .만명으로 추산된다
2879,.며 .업계의 생존권을 위협하려는 정부에 큰 배신감을 느낀다
2880,.고 비판했다
2881,.세종최재필 기자 . . 국민일보. 무단전재 및 수집 재배포금지다
2882,아이스팩이 무단으로 투기된 현장 모습. 뉴시스온라인 식품 배송에 사용되는 아이스팩 .개 중 .개에는 자연분해.재활용이 어려워 환경오염을 일으킬 수 있는 소재가 포함된 것으로 조사됐다
2883,.환경부는 한국소비자원과 온라인 식품 배송에 사용된 아이스팩 사용실태를 조사한 결과 고흡수성수지가 냉매로 들어있는 아이스팩 비중이 약 .로 집계됐다
2884,고 .일 밝혔다
2885,.고흡수성수지는 미세 플라스틱 일종으로 아이스팩 소재로 사용하면 얼음보다
2886, 냉기가 오래 지속돼 식품 배달에 자주 이용된다
2887,. 하지만 쓰레기봉투에 담아 버리거나 하수로 배출할 경우 환경오염을 일으킬 수 있다
2888,는 지적이 많았다
2889,. 자연적으로 분해되지 않고 재활용이 어렵기 때문이다
2890,.이에 환경부는 .고흡수성수지 아이스팩을 폐기물부담금 대상 품목으로 지정해 .년부터 폐기물부담금을 부과할 계획.이라고 밝혔다
2891,.환경부는 물과 전분.소금을 배합한 냉매가 고흡수성수지를 대체할 친환경 아이스팩 소재라고 소개했다
2892,. 실제 유통 비중도 커지고 있다
2893,. 지난해 친환경 아이스팩 생산량은 .억.개로 전체의 .에 달했다
2894,. 전년과 비교하면 .배 늘었다
2895,.환경부 관계자는 .주요 유통업체 .곳 중 .곳은 이미 내부방침에 따라 친환경 아이스팩만 사용 중이거나 올해 안에 친환경 아이스팩으로 전환한다
2896,는 방침을 정한 것으로 파악됐다
2897,.고 설명했다
2898,.세종최재필 기자 . . 국민일보. 무단전재 및 수집 재배포금지다
2899,대구염색공단 내 열병합발전소 굴뚝에서 흰 연기가 배출되는 모습. 대구염색공단 제공대구염색공단서구이 공단 인근 주민들과 상생을 위해 열병합발전소 굴뚝에서 나오는 흰 연기백연에 대한 오해 풀기에 나선다
2900,.일 대구염색공단에 따르면 공단 내 열병합발전소는 석탄을 연료로 사용해 증기와 전기를 자체 생산하는 시설로 공단 내 .개 입주업체에 에너지를 공급하고 있다
2901,.석탄 연소과정에서 발생되는 주요 대기오염물질인 황산화물과 질소산화물 먼지 등의 환경오염 물질을 줄이기 위해 .억원을 투자해 친환경 방지시설.년 완공을 만들었고 연간 대기오염물질 배출량을 .가량 줄였다
2902,.공단이 오염물질을 줄이기 위해 노력하고 있지만 오해는 엉뚱한 곳에서 생겨났다
2903,. 동절기 외부 온도차가 심한 날에 발생하는 백연으로 인해 오염물질을 배출하는 것으로 오해한 주민들이 민원을 제기하고 있기 때문이다
2904,.굴뚝으로 배출되는 백연은 고온의 배출가스에 포함된 수분이 굴뚝 밖 찬 공기와 접촉하면서 혼합 응축되는 현상으로 대부분 수증기 성분이라는 것이 대구염색공단 설명이다
2905,. 오염물질이 없고 일정 시간 지나면 자동 소멸 된다
2906,고 한다
2907,.현재 백연에 대한 법적 규제가 없어 백연저감시설 설치가 법적 의무사항은 아니다
2908,. 기술적 어려움 등으로 . 높이 굴뚝에 백연저감시설을 설치한 사례가 현재까지는 없는 것으로 알려졌다
2909,.대구염색공단은 최근 전문가 등과 함께 백연 저감 대책 등을 논의했다
2910,. 공단 인근에 서대구 역사와 대규모 아파트가 들어설 예정이기 때문에 지역 이미지를 위해 백연 저감 대책이 필요하다
2911,는 것에는 모두 공감했다
2912,. 하지만 시설 설치 가능 여부에 대해서는 기술 문제 고비용 등 현실적인 어려움이 많다
2913,고 분석했다
2914,.대구염색공단은 대구시와 환경청 서구청 등 관련부서에 백연 저감 관련 의견을 전달하고 국.시비 등의 예산확보 방법을 찾을 계획이다
2915,.김이진 염색공단 이사장은 .장기간 침체와 코로나. 사태로 인한 어려운 경제 환경으로 시설 투자에 어려움이 있는 것은 사실이지만 지역주민과 상생할 수 있는 쾌적한 환경 조성 방법을 찾아볼 것.이라고 말했다
2916,.대구최일영 기자 . . 국민일보. 무단전재 및 수집 재배포금지다
2917,영풍 석포제련소가 오염된 지하수로 인한 낙동강 상류 오염을 근원적으로 막는 대규모 차단 시설 공사조감도를 드디어 시작한다
2918,.영풍석포제련소는 .일 .봉화군으로부터 오염지하수 차단 시설 공사를 위한 하천 점용을 허가하는 공문을 받았다
2919,.며 .공사를 곧 시작해 하루라도 빨리 완공하겠다
2920,.고 밝혔다
2921,.오염지하수 차단 시설은 공장과 하천 사이에 지하 수십 미터 암반층까지 판 뒤 차수벽을 만들어 오염지하수가 강물로 침출되는 것을 차단하고 호. 형태로 차집암거를 설치해 지하수를 모아 외부에 유출되지 않게 처리한다
2922,. 공장 내 지하 차수막과 오염 방지공으로 막지 못한 오염지하수를 차단하는 .최후 저지선. 역할을 하게 된다
2923,.총 .억원의 예산이 투입되는 이 시설은 우선 .공장 외곽 .차 구간.에 내년 .월까지 설치한 뒤 봉화군의 하천 점용 허가를 받아 .공장 외곽 .차 구간.도 완성할 계획이다
2924,.석포제련소는 지난 .년 환경부로부터 지하수 정화 명령을 받은 이후 오염지하수 차단시설을 설치하기 위해 .개월 동안 봉화군 대구환경청과 .여 차례 넘게 협의했지만 환경단체의 반대 등으로 난항을 겪었다
2925,.환경단체들은 오염지하수 차단 시설이 사적 시설물인만큼 공장 내에 설치하라고 주장하고 있다
2926,. 하지만 석포제련소 공장내부에는 이미 하천 경계를 따라 .중으로 지하 차수막이 설치돼 있고 촘촘히 들어선 수십 개의 오염 방지공으로 지하오염수를 회수하고 있다
2927,. 석포제련소 측은 .공장 부지 내에 더 이상의 지하수 차단 시설을 시공하는 것은 기술적으로 불가능할 뿐만 아니라 설치하더라도 오염지하수 차단 효과가 떨어진다
2928,.고 설명했다
2929,.봉화군과 대구환경청은 환경단체들의 우려를 불식하기 위해 수차례 현장 확인과 전문가 참여 회의 등을 통해 시설의 설계와 위치 선정에 신중을 기했다
2930,. 또 공사 자재까지 꼼꼼히 점검한 봉화군의 의견을 반영하느라 .차례 재 설계에 가까운 설계 변경을 했다
2931,.석포제련소는 오염지하수 차단 시설을 .무 방류 설비.와 함께 .낙동강 상류 수질오염 제로.를 달성할 핵심 사업으로 추진해 왔다
2932,. .억원을 들여 완공한 무방류 설비는 현재 시험 운전 중이며 .시스템 정상화. 기간을 거쳐 내년 초 .무 방류.를 실현할 계획이다
2933,.석포제련소 박영민 소장은 .공사 구간을 세분화 해 한 구간이 완성되면 즉시 지상을 복구한 뒤 다
2934,음 구간으로 이어가는 방식으로 공사해 생태계에 미치는 영향을 최소화 할 것.이라고 말했다
2935,.봉화김재산 기자 . . 국민일보. 무단전재 및 수집 재배포금지다
2936,총 .억 원의 예산이 투입되는 이 차단시설은 우선 .공장 외곽 .차 구간.에 내년 .월까지 설치한 뒤 봉화군의 하천 점용 허가를 받아 .공장 외곽 .차 구간.도 완성할 계획이다
2937,. 석포제련소 제공영풍 석포제련소가 오염된 지하수로 인한 낙동강 상류 오염을 근원적으로 막는 대규모 차단 시설 공사를 드디어 시작한다
2938,.영풍석포제련소는 .일 .봉화군으로부터 오염지하수 차단 시설 공사를 위한 하천 점용을 허가하는 공문을 받았다
2939,.며 .공사를 곧 시작해 하루라도 빨리 완공하겠다
2940,.고 밝혔다
2941,.오염지하수 차단 시설은 공장과 하천 사이에 지하 수십 미터 암반층까지 판 뒤 차수벽을 만들어 오염지하수가 강물로 침출되는 것을 차단하고 호. 형태로 차집암거를 설치해 지하수를 모아 외부에 유출되지 않게 처리한다
2942,.공장 내 지하 차수막과 오염 방지공으로 막지 못한 오염지하수를 차단하는 .최후 저지선. 역할을 하게 된다
2943,.총 .억 원의 예산이 투입되는 이 시설은 우선 .공장 외곽 .차 구간.에 내년 .월까지 설치한 뒤 봉화군의 하천 점용 허가를 받아 .공장 외곽 .차 구간.도 완성할 계획이다
2944,.석포제련소는 지난 .년 환경부로부터 지하수 정화 명령을 받은 이후 오염지하수 차단시설을 설치하기 위해 .개월 동안 봉화군 대구환경청과 .여 차례 넘게 협의했지만 환경단체의 반대 등으로 난항을 겪었다
2945,.환경단체들은 오염지하수 차단 시설이 사적 시설물인 만큼 공장 내에 설치하라고 주장하고 있다
2946,. 하지만 석포제련소 공장내부에는 이미 하천 경계를 따라 .중으로 지하 차수막이 설치돼 있고 촘촘히 들어선 수십 개의 오염 방지공으로 지하오염수가 회수되고 있다
2947,.석포제련소 측은 .공장 부지 내에 더 이상의 지하수 차단 시설을 시공하는 것은 기술적으로 불가능할 뿐만 아니라 설치하더라고 오염지하수를 차단하는 효과가 떨어진다
2948,.고 설명했다
2949,.봉화군과 대구환경청은 환경단체들의 우려를 불식하기 위해 수차례 현장 확인과 전문가 참여 회의 등을 통해 시설의 설계와 위치 선정에 신중을 기했다
2950,.석포제련소는 지질 특성과 지하수 흐름 등을 감안해 최선의 토목 기술을 반영한 설계를 마련했지만 시설의 위치는 물론 공사에 쓰일 자재까지 꼼꼼히 점검한 봉화군의 의견을 반영하느라 재 설계에 가까운 .차례의 설계 변경을 해야 했다
2951,.석포제련소는 오염지하수 차단 시설을 .무 방류 설비.와 함께 .낙동강 상류 수질오염 제로.를 달성할 핵심 사업으로 추진해 왔다
2952,.억원을 들여 완공한 무방류 설비는 현재 시험 운전 중이며 .시스템 정상화. 기간을 거쳐 내년 초 그동안 정수 처리해 방류하던 공정사용수폐수 전량을 처리해 공정에 재이용하는 .무 방류.를 실현할 계획이다
2953,.석포제련소 박영민 소장은 .공사 구간을 세분화 해 한 구간이 완성되면 즉시 지상을 복구한 뒤 다
2954,음 구간으로 이어가는 방식으로 공사해 생태계에 미치는 영향을 최소화 할 것.이라고 말했다
2955,.봉화김재산 기자 . . 국민일보. 무단전재 및 수집 재배포금지다
2956,.년 .월 일론 머스크는 .테슬라의 모든 특허를 여러분께 드립니다
2957,.라고 깜짝 선언을 했다
2958,. 전기차 배터리 특허 .여건을 무료로 공개한 것인데 분초를 다
2959,투는 기술 개발 전쟁에서 믿기 어려운 광경이었다
2960,. 머스크가 왜 그랬을까. 당시 전문가들은 .경쟁사가 테슬라 특허를 활용한다
2961,면 전기차 시장의 파이가 전반적으로 커지면서 얻는 이득이 특허의 이득보다
2962, 크기 때문.이라고 분석했다
2963,. 구글이 안드로이드의 소스를 공개한 것이나 도요타가 수소연료 차량 특허를 일부 공개한 것도 궤를 같이한다
2964,. 각자 가진 자원을 내놓고 공유해 최고의 결과물을 만들어 내는 데 집중하는 열린 혁신 이 한창인 이유다
2965,.환경 오염 저출산.고령화 등에 대한 국가 발전의 해답을 찾는 것도 열린 혁신이 가능할까. 미국 정부가 직접 구축한 시민참여형 아이디어 공모 플랫폼. 사례를 보면 알 수 있다
2966,. 이 플랫폼은 .년 버락 오바마 정부 때부터 시작해 항공우주국 에너지부 국방부 등 .여개 기관이 참여해 다
2967,양한 도전 과제를 제시하고 시민이 참여하는 방식으로 운영되고 있다
2968,. 플랫폼이 출범한 첫해에만 .건 이상 과제를 발굴하고 .억.만 달러.억원의 상금을 지급했다
2969,. 실제로 .프린터 기반 집 짓기 디자인 농업 분야 데이터 분석 및 시각화 등 다
2970,양한 문제들이 민간 아이디어로 해결됐다
2971,. 최근엔 총상금 .만 달러.억.만원를 걸고 .내일의 마스크를 설계하라.는 과제로 해법을 찾는 중이라고 한다
2972,. 고온다
2973,습한 날씨에도 착용이 불편하지 않고 안경을 썼을 때의 김 서림도 최소화한 혁신적 일회용 마스크 디자인을 제출하면 포상한다
2974,는 계획이다
2975,. 국가 차원에서 민간의 열린 혁신을 적극 실천하고 있는 셈이다
2976,.대한상공회의소도 .국가 발전 프로젝트 공모전.을 펼치고 있다
2977,. 세계적 과제인 .코로나 이후 우리는 이전 일상처럼 돌아갈 수 있을까.라는 고민에서 시작해 국민 전체의 집단지성을 활용한다
2978,면 경제 활력을 회복하기 위한 좋은 아이디어를 찾아낼 수 있지 않을까 하는 희망에서였다
2979,. 특히 .내 손으로 대한민국의 미래를 바꿀. 기회를 제공한다
2980,는 점을 강조하기 위해 아이디어가 사업화되는 경우 수상자는 프로젝트 지분을 받을 수 있고 직접 참여도 가능하다
2981,.새 형식의 공모전인 만큼 참여 열기도 뜨겁다
2982,. 현재 .여건의 응모가 이뤄진 가운데 기업 부문이 .여건 대학이나 일반 부문이 .여건이다
2983,. 주제별로는 창업 일자리. . 보건 안전. 지역 발전 소상공인. 저출산 고령화. 문화 관광. 등 다
2984,양한 분야에서 새 아이디어들이 쏟아지고 있다
2985,. .코로나 시대 소상공인 살리는 지역별 맞춤 해결책. .산업 현장의 안전을 담보할 기술. .국민의 탄소발자국을 계산하고 줄이는 시스템. 등 국가적 난제에 대한 저마다
2986,의 해법이 쇄도했다
2987,. 심사위원들이 놀랄 만큼 생각보다
2988, 좋은 아이디어가 많다
2989,는 후문이다
2990,.점들을 연결해 보세요 . 스티브 잡스가 스탠퍼드대학 졸업식 축사에서 남긴 유명한 말이다
2991,. 점과 점을 서로 연결하면 선이 되듯 과거의 순간들이 모여 현재의 모습을 만들어 나간다
2992,는 의미다
2993,. 대한상의도 오디션을 통해 우수작을 추리는 작업과 별개로 한 분 한 팀이 만든 수많은 아이디어를 모아 백서로 만들어 제공할 예정이다
2994,. 공모전을 통해 접수된 수많은 아이디어가 어쩌면 지금은 상호 관련이 없어 보일 수도 있지만 이들이 모여 미래에 놀라운 대한민국의 모습을 그릴 수 있는 소중한 점들이 되길 바란다
2995,. 국가 발전 프로젝트가 여러분의 신청을 기다
2996,리고 있다
2997,.우태희 대한상공회의소 상근부회장 . 국민일보. 무단전재 및 수집 재배포금지다
2998,고양시 제공경기 고양시가 기후환경변화 대응과 탄소중립화를 위해 섬유 폐기물을 자원화하는 작업에 나선다
2999,. 고양시는 .일 폐섬유류의 자원화를 위한 시범사업 추진을 위해 코오롱인더스트리 미래기술원과 업무협약을 체결했다
3000,고 밝혔다
3001,.협약에 앞서 시는 지난해 .월 코오롱인더스트리 미래기술원과 소규모 공동주택 단지에서 발생되는 섬유류 폐기물의 종류를 조사한 바 있다
3002,.시는 이번 협약을 통해 시범 공동주택 단지와 단독주택지에서 발생되는 섬유류 폐기물의 발생량을 조사해 폐섬유류가 친환경 재생 원료로서 적합한지 데이터화할 계획이다
3003,.현재 폐섬유류는 의류를 일부 재사용하는 방식으로 재활용하고 있으나 대부분은 소각 또는 매립되고 있어 비용과 환경오염 문제가 제기됐다
3004,.또한 환경부는 .년부터 소각이나 재활용 과정을 거치지 않고는 매립을 못하도록 폐기물관리법 시행규칙을 개정해 폐에 대한 재활용률을 높이는 것이 반드시 필요한 상황이다
3005,.그런데 기존 열처리를 통한 기계적 재활용 공법은 원료인 폐기물에 포함된 불순물 제거에 한계가 있어 재활용이 가능한 폐기물의 종류가 매우 제한적이다
3006,.코오롱인더스트리 관계자는 .최근 주목받고 있는 폐플라스틱을 활용한 친환경 폴리에스테르 재생기술 개발을 이용하면 화학적 재생 공법으로 폐기물의 종류나 오염도와 상관없이 고순도 원료를 추출할 수 있어 대부분의 재활용 플라스틱을 자원화 할 수 있다
3007,.고 밝혔다
3008,.이재준 고양시장은 .앞으로도 기업의 폐기물 자원화 기술개발에 협력해 고양시가 기후환경변화 대응과 탄소중립화 정책에 앞장서게 하겠다
3009,.고 말했다
3010,.한편 고양시는 .년 제.차 기후변화당사국 총회. 유치를 추진하면서 다
3011,양한 기후변화대응 대책 탄소중립화 방안 마련을 위해 노력하고 있다
3012,.고양박재구 기자 . . 국민일보. 무단전재 및 수집 재배포금지다
3013,전남도청 전경사진전남도 제공전남도가 설 연휴기간 환경오염물질 불법 배출 행위를 방지하기 위해 산업단지 환경오염 취약시설에 대한 특별 감시에 나섰다
3014,.일 전남도에 따르면 이번 특별감시는 설 연휴 전후로 나눠 실시되며 환경오염 예방과 신속 대응에 역점을 둔다
3015,.전남도는 연휴 전인 .일까지 도내 감시대상 .천 .개 사업장을 대상으로 사전 홍보 및 계도 활동을 벌이고 협조 공문 발송 등을 통해 자율점검을 유도한다
3016,.특히 도와 시군이 합동으로 .개조 .명으로 구성된 단속반을 꾸려 환경오염물질 배출.방지시설 적정 운영 여부 폐수 무단배출 행위 등 비대면 점검을 실시할 예정이다
3017,.연휴기간인 .일부터 .일 기간에는 도와 시군에 .환경오염사고 대비 상황실.을 설치하고 .시간 상시 운영체계를 구축해 환경오염사고 등 긴급 상황발생 시 환경부 화학방재센터 등과 즉각 대응키로 했다
3018,. 산업단지 주변 등 오염 우려 하천에 대한 순찰도 강화한다
3019,.연휴가 끝난 .일부터 .일까지는 환경관리 취약업체를 대상으로 비대면 기술지원도 병행 실시할 예정이다
3020,.김상호 전남도 환경관리과장은 .환경오염행위 감시활동을 강화하고 오염사고 예방체계를 갖춰 도민들이 편안한 마음으로 설 명절을 보낼 수 있도록 하겠다
3021,.며 .도민들도 환경오염행위를 발견한 즉시 신고전화 .번으로 연락해 줄 것.을 당부했다
3022,.무안김영균 기자 . . 국민일보. 무단전재 및 수집 재배포금지다
3023,경기도가 플라스틱으로 만들어진 물티슈 사용 줄이기에 나선 가운데 경기도민 .명 중 .명이 물티슈의 환경오염 문제에 대해서 .심각하다
3024,.고 인식하고 있는 것으로 나타났다
3025,.시중에 유통되는 대다
3026,수의 물티슈는 화장지와 달리 플라스틱 계열인 폴리에스테르로 만들어져 한 장의 물티슈는 썩기까지 .년 이상 걸리는 것으로 알려져 있다
3027,.경기도는 지난 .일부터 .일까지 도민 .명을 대상으로 .물티슈 사용실태 및 인식.과 관련한 여론조사를 실시해 .일 결과를 발표했다
3028,.발표에 따르면 도민 .가 물티슈의 환경오염 문제에 대해서 .심각하다
3029,.고 응답했고 도민 .는 불편을 감수하더라도 환경오염 등을 고려해 물티슈 사용을 .현재보다
3030, 줄일 의향이 있다
3031,.고 해 경기도의 물티슈 줄이기에 절대 다
3032,수가 찬성하는 것으로 조사됐다
3033,.물티슈를 일회용품 규제대상으로 지정하는 것에 대해서도 도민 .가 .찬성한다
3034,.고 답했으며 .반대한다
3035,.는 .에 그쳤다
3036,.일회용품 규제대상은 .회용 용기 .회용 나무젓가락 등으로 음식점 카페 마트 등에서 사용이 제한될 수 있다
3037,.물티슈 사용 실태에서는 도민 .명 중 .명이 최근 한 달 간 물티슈를 .사용한 적 있다
3038,.고 답했고 이들은 사용한 이유로 .간편함.을 가장 높게 꼽았다
3039,.반면 사용하지 않는 도민들은 .환경을 오염시킬 것 같아서. .인체에 유해할 것 같아서. 등을 이유로 들었다
3040,.이용자들은 하루 평균 .장의 물티슈를 사용하는 것으로 조사됐다
3041,.이를 만 .세 이상 도민 전체로 확대하면 하루 총 약 .만장으로 추정되는 양이다
3042,.이는 물티슈를 한 장씩. 기준 나열하면 약 . 가량으로 경부고속도로.를 .번 왕복하는 거리에 해당한다
3043,.환경에 유해한 물티슈 사용을 줄이기 위한 방안에 대해서는 도민의 절반이 넘는 .가 .친환경소재 물티슈 개발 및 유통지원이 효과적일 것.이라고 답했다
3044,.이어 물수건 행주 등 대체용품 보급. 사용 줄이기 관련 캠페인 및 교육 강화. 순이었다
3045,.박성남 도 환경국장은 .경기도는 물티슈를 일회용품으로 지정하고 폐기물부담금 부과대상에 포함시켜 줄 것을 정부에 건의했다
3046,.면서 .물티슈 이용이 감소하도록 도민 캠페인을 확대하는 등 할 수 있는 모든 노력을 하겠다
3047,.고 말했다
3048,.이번 조사는 경기도가 여론조사기관인 .케이스탯리서치에 의뢰해 전화조사방식으로 진행됐으며 표본오차는 신뢰수준 .에서 .다
3049,.수원강희청 기자 . . 국민일보. 무단전재 및 수집 재배포금지다
3050,경기도 화성시가 관내 환경오염물질 배출업소에 대한 통합 지도점검을 실시하기로 했다
3051,.환경오염물질 배출시설의 체계적인 관리로 환경오염을 사전에 예방하기 위한 차원이다
3052,.화성시는 이번 통합 지도점검은 .월부터 .월까지 중점관리 업소와 .개년도 미점검 사업장 .개소를 중심으로 시행된다
3053,고 .일 밝혔다
3054,.환경오염 배출시설 및 방지시설 정상가동 여부 운영일지 작성 및 자가측정 실시 여부 미신고 배출시설 가동여부 환경기술인 의무교육 이수여부 등을 집중 점검한다
3055,.점검을 통해 환경분야 관련법 준수 사업장에 대해서는 지속적으로 관련법령을 준수 할 수 있도록 지도하고 위반사업장 적발 시에는 관련법령에 따라 사법기관에 고발조치 및 행정처분 등의 조치가 내려진다
3056,.개조 .명.인 .조으로 점검반을 편성해 정기점검을 실시하고 민간환경감시원도 .개조 .명.인.조으로 편성해 상시감시를 실시한다
3057,.시는 특히 민간환경감시원 운영을 통한 상시 감시체계 구축을 위해 오는 .월부터 민간환경감시원을 운영한다
3058,며 이를 통해 야간.주말 등 단속 취약시간대 감시활동을 강화한다
3059,는 방침이라고 설명했다
3060,.박윤환 시 환경사업소장은 .환경오염물질 배출사업장의 지속적인 지도.점검과 전방위적 환경오염 감시체계 구축으로 시민들이 깨끗하고 쾌적한 환경을 누릴 수 있도록 최선을 다
3061,할 것.이라고 말했다
3062,.화성강희청 기자 . . 국민일보. 무단전재 및 수집 재배포금지다
3063,일부 선박 수중공사업체가 선박을 청소하며 발생한 오염물질을 바다
3064,에 버리고 있다
3065,.사진서해해경청 제공오염물질을 바다
3066,에 몰래 버린 선박 수중공사업체 대표 등을 입건해 검찰로 송치한 해경이 수사를 확대하고 있다
3067,.서해지방해양경찰청은 대형 선박 청소 과정에서 발생한 오염물질을 바다
3068,에 몰래 버린 혐의해양환경관리법 선박의 입항 및 출항 등에 관한 법률 위반로 부산지역 수중공사업체 대표 등 .명을 검찰에 송치했다
3069,고 .일 밝혔다
3070,.이 업체는 지난해 .월부터 .월까지 총 .여회에 걸쳐 국내 주요 항만에 입항하는 대형 선박을 대상으로 수중에서 선박의 바닥을 청소이하 선저세척 하면서 발생하는 오염물질을 수거하지 않고 그대로 바다
3071,에 버린 혐의를 받고 있다
3072,.국제해사기구에 가입한 일부 해양 선진국의 경우 선박 부착 생물의 자국 내 침입을 막기 위해 입항 전 선체 외판에 대한 청소를 요구하고 있다
3073,. 이에 따라 국내 수중업체에서 이런 청소를 시행하고 있는 실정이다
3074,.이와 관련한 과정에서 발생하는 폐기물에는 페인트 및 부패 유기물은 물론 부착생물과 외래종 생물까지 포함될 수 있어 심각한 해양오염과 함께 해양생태계 교란의 우려마저 낳고 있다
3075,.서해해경청은 수중에서의 선저세척 작업은 잠수 작업자의 안전사고 발생 위험과 함께 해양환경 오염피해가 있다
3076,는 게 확인된 만큼 허가내용과 다
3077,른 선저세척 작업을 하는 수중공사업체에 대해 수사를 확대할 방침이다
3078,.목포김영균 기자 . . 국민일보. 무단전재 및 수집 재배포금지다
3079,제주도가 진행한 설문조사에서 .제주도정의 환경 보전.개선 비용 확보 방안.으로 .환경오염 행위자에 처리 비용을 물려야 한다
3080,.는 응답이 가장 높게 나타났다
3081,. 입도객에 처리 비용 일부를 부담시키는 환경보전기여금가칭 징수 제도와는 별개로 축산 분뇨 불법 배출과 같이 직접적인 불법 행위로 환경을 오염시킨 이들에 실질적인 처리 비용을 청구해야 한다
3082,는 의견이 압도적으로 높게 나타난 것이다
3083,.제주도가 최근 도민 .명을 대상으로 .제주 환경보전을 위한 도정정책 방향 도민 인식조사.를 실시한 결과 절반 이상이 제주 환경문제에 대해 .심각하다
3084,.고 느끼고 있었다
3085,. .환경 보전.개선을 위한 비용 확보 방안.으로는 .환경오염시설 원인자 부담.을 .순위로 택했다
3086,.이번 조사에서는 전체 응답자 중 .가 제주도가 .생활쓰레기. 문제를 가장 시급한 환경 정책으로 우선 추진해야 한다
