,내용
396, 연구팀이 .명의 참가자를 대상으로 .세 때와 .세 때의 를 측정한 결과 아동기에 대기 오염물질이 많이 노출된 경우 노출되지 않은 사람에 비해 성인이 될 때까지 수치가 연평균 .마이크로미터 .분의 .씩 더 큰 것으로 나타났다
397, 연구팀은 .생애 동안 수치가 조금씩 더 커지면 장기적으로 심혈관 질환 위험이 더 커질 수 있다
398,고 지적했다
399, 지난달 미국 듀크대학과 영국 킹스 칼리지 런던 연구팀은 .미 의사협회 저널 네트워크 오픈.에 게재한 논문에서 .아동기와 청소년기에 질소산화물에 더 많이 노출될수록 .세에 성인이 될 때 정신 질환의 징후를 보일 가능성이 더 커진다
400,고 밝혔다
401, 연구팀은 .년 영국에서 태어난 .명의 쌍둥이를 대상으로 연구를 진행했는데 .세 당시의 대기 오염물질 노출 수준과 .세 때의 정신질환알코올.대마초 의존성 주의력 결핍 과잉 행동 장애 우울증 외상 후 스트레스 장애 등과의 관련성을 분석했다
402, 연구팀은 .청소년기까지 신경이 발달하고 이후 젊은 성인기까지 신경이 성숙하는데 이 무렵에 대기오염에 노출되면 악영향을 받는다
403,고 설명했다
404, 지난달 엘라의 엄마 로자먼드 아두키시데브라는 와의 인터뷰에서 .정보가 부족해 엘라가 대기오염에 대한 노출되는 것을 막지 못했고 목숨을 구하지도 못했다
405,며 마음 아파했다
406, 지난해 한국의 초미세먼지 오염도는 많이 나아졌지만 전국의 연 평균치가 .로 기준의 두 배 수준이다
407, 우리 아이들이 건강하게 자라도록 하려면 대기오염을 더 개선해야 한다
408, 아직도 갈 길이 멀다
409, 강찬수 환경전문기자다
410,충북 강원 전남 등 시멘트 생산지역 주민대표 지방의회 시민단체로 구성된 .시멘트지역자원시설세 입법 공동추진위원회는 .일 충북 제천시 시민회관 광장에서 출범식을 가졌다
411, 사진 시멘트세 공동추진위원회 시멘트 .당 .원씩 세금을 부과하는 .시멘트세. 도입을 위한 전국 공동추진위원회가 출범했다
412, 충북.강원.전남 주민에 지방의회 시민단체 동참 .시멘트지역자원시설세 입법 공동추진위원회는 .일 충북 제천시 시민회관 광장에서 출범식을 가졌다
413, 시멘트가 생산되는 충북 강원 전남 등 지역의 주민대표와 지방의회 시민단체 관계자들로 구성된 단체다
414, 이들은 출범 기자회견에서 .시멘트 생산지역 주민들이 .여년 동안 일방적으로 피해와 고통을 강요당하고 환경파괴와 오염을 초래해온 문제 해결을 위해 종합적인 세수를 마련해야 한다
415,고 주장했다
416, 그러면서 .시멘트 생산지역 국회의원들과 기업은 국회에서 기금방안 협약식을 개최하는 등 수단과 방법을 가리지 않고 관련 법안의 개정을 막으려 하고 있다
417,며 .기금방안에 대해서는 단호히 거부한다
418,고 밝혔다
419, 시멘트세는 지난해 .월 더불어민주당 이개호 의원전남 장성이 시멘트세 신설이 담긴 지방세법 개정안을 대표 발의하면서 논의가 재개됐다
420, 화력발전이나 원자력발전 지하수 개발에 부과하는 지역자원시설세 부과 대상에 시멘트를 포함하는 게 골자다
421, 시멘트 생산 지역도 발전소 주변 마을처럼 소음이나 악취 분진 등 환경 피해를 보고 있기 때문에 환경개선사업 등을 위해 세금을 더 걷어야 한다는 논리다
422, 이에 시멘트 업계는 .시멘트 원료인 석회석 원석에 이미 세금을 내고 있어 시멘트세 도입은 이중과세.라며 법안 개정에 반대하고 있다
423, 충북 단양군 매포읍에 위치한 시멘트 제조시설 전경. 중앙포토 이두영 공추위 운영위원은 .대 국회에서 관련 법안을 계속 발의하고 지역에서도 법안 통과를 위해 노력했으나 시멘트업계와 특정 정치인의 반대로 뜻을 이루지 못했다
424,며 .강원 전남에 있는 시민사회단체와 함께 조속한 법안 통과를 위해 노력하겠다
425,고 말했다
426, 공추위는 시멘트세 입법을 설득하기 위해 국회 행정안전위원회와 법안심사소위원회 위원을 면담할 계획이다
427, 충북과 강원 주민 대표 등은 .시멘트 생산과정에서 환경피해가 막심하다
428,고 호소하고 있다
429, .년 충북대가 실시한 시멘트공장 주변 .개 지역 주민건강영향조사 결과 .만.명 가운데 .명이 만성폐쇄성 질환과 진폐증을 앓고 있었다
430, 또 시멘트 공장에서 나오는 분진이 농작물 생육에 장애를 주거나 수확량을 감소시키고 시멘트 수송으로 인한 도로 파손 문제 등을 발생시키고 있다
431, 이들은 시멘트세로 확보된 재원으로 환경오염 저감시설을 설치하고 주민 건강증진 사업 노후 교량 복구에 쓸 계획이다
432, 병원 건립과 경로당 건립 자녀 학비 지원 등 지원사업도 구상하고 있다
433, 제천최종권 기자 .다
434,스웨덴 출신의 .대 환경 운동가 그레타 툰베리.가 유명 패션지 보그 스칸디나비아판 표지 모델로 나섰다
435, 패션 업계 깊숙이 자리 잡은 패스트패션을 비판하기 위해서다
436, 패스트패션은 유행을 좇기 위해 대량 생산과 빠른 소비를 주도하는 상품을 의미한다
437, 패션잡지 보그 스칸디나비아판 .호 표지 모델 장식한 환경운동가 그레타 툰베리. 툰베리 트위터 캡처 .일현지시간 보그 스칸디나비아판은 홈페이지에 툰베리의 화보와 인터뷰가 실린 발행본 .호 표지를 공개했다
438, 툰베리는 숲속에서 자신의 체격보다 큰 분홍색 트렌치코트를 입고 말의 머리를 쓰다듬는 모습으로 표지를 장식했다
439, 잡지에는 베이지색 스웨터와 형형색색의 카디건을 입은 툰베리가 자연을 배경으로 곤충.동물들과 함께 찍은 사진도 담겼다
440, 보그 측은 .툰베리의 촬영 의상은 천연 재료와 폐기된 옷 등을 재활용해 만든 옷.이라며 .전 세계 환경 운동에 불을 지핀 툰베리가 자연을 콘셉트로 한 잡지 .호 모델로 가장 적합했다
441,고 밝혔다
442, 보그에 따르면 툰베리는 촬영장에도 홀로 배낭을 메고 자전거를 타고 나타났다
443, 주름진 줄무늬 면 셔츠에 레깅스 차림이었는데 이미 몇 차례 수선을 한 옷들이었다
444, 그는 .년 전 산 중고 의류가 마지막으로 구매한 옷.이라며 .나는 지인에게 물건을 빌려 쓸 뿐.이라고 소개했다
445, 스웨덴 .대 환경운동가 그레타 툰베리. 로이터연합뉴스 툰베리는 이번 인터뷰에서 .패스트패션이 의류를 일회용품처럼 취급해 기후 위기를 앞당기고 있다
446,며 시스템 변화를 촉구했다
447, 그는 .누구에게는 패션이 자신의 정체성을 표현하는 도구일 수 있다
448,면서도 .패스트패션 의류를 구매하는 것은 환경을 망치는 일에 동참하는 것.이라고 지적했다
449, 자신의 트위터에서도 .패션 업계는 .입고 버린다
450,는 인식을 만들어 전 세계 노동자를 착취하고 기후와 생태계를 비상사태로 몰아가고 있다
451,고 비판했다
452, 그러면서 .패션 업계는 지속가능 윤리적인 친환경적인이라는 말로 마치 환경에 책임을 지는 것처럼 포장하고 있고 소비자는 이런 허무맹랑한 캠페인에 돈을 쓰고 있다
453,며 .패션 업계의 캠페인은 그린 워싱 에 불과하다
454,고 지적했다
455, 그린 워싱은 기업이 이윤을 위해 겉으로만 친환경을 내세우는 행태를 말한다
456, 유엔에 따르면 매년 발생하는 폐수와 이산화탄소 가운데 패션 업계가 차지하는 비중은 각각 . .에 달한다
457, 이산화탄소의 경우 항공 산업 배출량의 약 .배 규모다
458, 유엔이 환경오염을 유발하는 산업 .위로 패션 업계를 지목한 이유다
459, 도 .년 기준 의류 산업에서 발생하는 온실가스 배출량은 .억.만으로 전 세계 총량 중 약 .에 달한다고 전했다
460, 툰베리는 .살 때부터 매주 금요일 학교에 가는 대신 스웨덴 의회 앞에서 기후를 위한 학교 파업 .인 시위로 이름을 알렸다
461, 이후 기후위기를 해결하기 위해 조직적으로 행동해야 한다며 전 세계 지도자들에게 즉각적인 조치를 촉구하고 있다
462, 관련기사확 당겨진 온난화 마지노선 .도.이런 기후 재앙 훨씬 잦아진다재난영화 아닌 실화.고대 신전도 위협하는 그리스 산불영상중국 정저우 폭우에 지하철 잠겨 .명 참변.만명 대피이민정 기자 .다
463,대구지역 주부 .여명이 .년 .월 .일 낮 서울 을지로 두산그룹 본사 앞에서 두산전자 페놀방류로 인한 유산 등 피해를 보상하라며 시위를 벌이고 있다
464, 중앙포토 그날 .월 .일은 일요일이었지요. 당직이라 아침 일찍 출근했더니 시민들 전화가 빗발쳤습니다
465, 류 기자는 대구시 상수도사업본부로 달려갔고 수돗물에서 페놀이 검출됐다는 얘기를 듣게 됐다
466, 그날 낮 방송부터 페놀 오염 보도가 시작됐고 그날 밤 메인 뉴스에서도 페놀이란 단어가 처음 등장했다
467, .년 전 영남지방을 뒤흔들었던 .년 .월 낙동강 페놀 오염 사고는 이렇게 시작됐다
468, 환경처 장.차관이 동시에 잘리고 시민들과 함께 피해 보상과 책임 규명 운동에 뛰어들었던 두 사람을 나중에 환경부 장관까지 되게 만든 바로 그 사건이다
469, 최근의 핫 이슈인 토지 투기 사건과 가덕도 신공항 추진 두 가지를 합친 것보다 더 큰 엄청난 사건이었다
470, 류희림 기자의 페놀 특종 류희림 재문화엑스포 사무총장. 대구총국 기자였던 .년 .월 페놀 오염사고를 특종 보도했다
471, 류 사무총장은 .당시 흔했던 수돗물 악취사고 중 하나로 그냥 묻힐 수도 있었던 사고가 .페놀 검출.이란 사실 때문에 크게 부각됐다
472,고 말했다
473, 그의 보도는 한국 .대 특종에도 뽑혔다
474, 시민 항의와 언론 보도가 이어지면서 검찰과 대구환경청에서는 페놀이 어디서 나왔는지 수사에 착수했다
475, 며칠 후 구미시 두산전자에서 유출된 페놀이 원인이란 걸 밝혀냈다
476, 사건 초기 두산전자에서 방류한 폐수 탓으로 알려졌으나 실상은 전자회로 기판에 사용되는 원료인 페놀 원액 .톤이 흘러나온 것이었다
477, 원료 이송 파이프의 이음새 파열로 .월 .일 오후 .시부터 이튿날 오전 .시까지 .시간 동안 유출돼 낙동강 지류인 옥계천을 오염시킨 탓이었다
478, 물론 페놀 사건 직전 .개월 동안에도 페놀이 함유된 폐수 .톤을 무단 방류한 사실이 드러나기도 했지만 페놀 사고의 직접 원인은 원료 누출이었다
479, 페놀로 오염된 낙동강 물은 하류로 흘러내려 와 .일 대구시 수돗물의 .를 공급하던 다사 수원지에 유입됐고 수돗물로 만들어져 대구시에 공급됐다
480, 당시 전문지식이 부족했던 정수장 직원들은 주민 민원이 빗발치자 악취를 막기 위해 염소 소독을 강화했다
481, 하지만 염소 소독제 성분이 물속 페놀과 반응 클로로페놀이 되면서 악취가 수백 수천 배 심해졌다
482, 페놀 오염사고를 보도한 당시 중앙일보 지면 페놀은 낙동강을 따라 하류로 흘러갔고 부산에 이르기까지 낙동강을 식수원으로 사용하던 영남지역 주민들이 큰 피해를 보았다
483, 주민들은 구토.설사.복통 등을 호소했고 수돗물로 만든 두부.김치.콩나물 등은 악취 때문에 폐기 처분됐다
484, 결국 .월 .일 두산전자에는 조업정지 .일의 처분이 내려졌다
485, 지난해 개봉한 영화 삼진그룹 영어토익반. .년을 배경으로 한 이 영화는 페놀 불법 방류를 소재로 했으나 .년 페놀 오염사고와는 내용이 크게 다르다
486, 사진 롯데엔터테인먼트 류 사무총장은 지난해 페놀 유출 사고를 소재로 한 영화 삼진그룹 영어 토익반이 개봉돼 관람했지만 .페놀.이란 것만 빼고 나면 실제와는 완전히 달랐다며 당시에는 불법 방류에 대한 제보를 기자가 엿 바꿔 먹은 사실 자체가 없었다고 말했다
487, 최예용 활동가의 금붕어 실험 최예용 환경보건시민센터 소장. 공해추방운동연합 사무차장으로 일하던 .년 .월 페놀 오염를 접했다
488, 전대미문의 환경오염 사건이 벌어지면서 환경단체들도 뛰어들었다
489, 국내 환경 운동의 대명사인 최열 씨가 이끌던 공해추방운동연합공추련에서도 깊은 관심을 가지고 대구 현장을 찾았다
490, 당시 공추련 사무차장이었던 최예용 환경보건시민센터 소장박사은 당시 언론에서도 페놀 오염사고에 비상한 관심을 가졌고 공추련 사무실에는 새로운 내용을 하나라도 더 얻기 위해 기자들이 진을 치고 있었다고 말했다
491, 최 소장은 페놀의 독성을 쉽게 알려주기 위해 금붕어가 담긴 수조에 페놀을 타는 실험.월 .일도 진행했다고 말했다
492, 당시 환경처가 정한 페놀 배출 허용기준치인 . 페놀에 금붕어 두 마리를 넣었는데 실험 .시간 .분 만에 금붕어가 죽었다는 내용이 신문에 대서특필됐다
493, 지금으로 보면 엉성하고 농도도 높아 비과학적이기까지 한 실험이지만 당시에는 제대로 된 독성실험을 맡아줄 곳도 별로 없었다
494, .년 사이 환경보건 전문가로 성장한 최 소장은 가습기살균제사건과 . 세월호참사 특별조사위원회사참위에서 가습기 살균제 사건 진상규명 소위원장을 맡기도 했다
495, .시간 동안 유출 사실을 은폐했던 사실이 밝혀지자 환경단체들은 .월 .일 두산전자가 속한 두산그룹의 일원이었던 오비맥주에 대한 불매운동을 벌였다
496, 길거리에서 둘러서서 병에 든 맥주를 통에 붓는 퍼포먼스를 진행했다
497, 수도물 페놀 오염 시민단체 대책협의회에서 .년 .월 맥주를 쏟고 있다
498, 중앙포토 두산전자에서는 인쇄 회로기판 수급 차질을 이유로 한 달 조업정지를 다 채우지도 않고 조업 재개를 요청했다
499, .월 .일 조업을 재개했지만 두산전자는 .월 .일 페놀 원료 .톤이 다시 누출했고 대구 수돗물 취수도 일시 중단됐다
500, 분쟁 조정에 나섰던 환경처 심재곤 과장 심재곤 사환경.인 포럼 회장. .년 당시 환경처의 분쟁조정위원회 사무국장으로 페놀 오염사고 분쟁조정 실무를 맡았다
501, 불똥은 당시 환경처로 튀었다
502, 사건을 제대로 수습하지 못했다는 이유로 결국 .월 .일 장관과 차관이 한꺼번에 경질되는 사태를 맞았다
503, .년 .월 환경청에서 승격했던 환경처는 출범 .개월 만에 최악의 위기에 처했다
504, 여러 대책도 쏟아졌다
505, 환경처를 환경부로 승격해야 한다는 얘기도 나왔고 수질은 환경처 수량수자원은 건설부로 나뉘어 있던 것을 한곳으로 모아야 한다는 물 관리 업무 일원화 문제가 제기되기 시작한 것도 이때부터다
506, 사고 당시 환경처에서 정책조정과장을 맡고 있던 심재곤 사환경.인포럼 회장은 페놀 오염 사고 때문에 환경처는 당시 큰 수난을 겪었다며 페놀 사고를 계기로 건설부가 갖고 있던 상수도보호 구역 지정 권한을 환경처가 갖게 됐다고 말했다
507, 노태우 대통령이 .년 .월 .일 오전 청와대에서 권이혁 환경처 장관에게 임명장을 수여했다
508, 당시 노 대통령은 페놀 오염 사고 후 문책 인사로 환경처 장차관을 동시에 경질했다
509, 중앙포토 그는 새로 생긴 환경부 환경분쟁조정위원회 사무국장으로 자리를 옮겨 대구지역 주민 .여 명이 참여한 페놀 오염 사고에 대한 배상 신청 사건을 진행하는 실무를 맡았다
510, 환경분쟁조정위에서 다룬 사실상 첫 사건이 페놀 오염 사고였다
511, 심 회장은 당시 페놀에 오염된 수돗물을 마신 일부 임신부는 기형아 출산을 우려해 중절 수술을 받기도 했는데 그런 부분은 배상을 받지 못했다며 .인당 .만원 정도의 정신적 피해만 인정받았다
512,고 말했다
513, 경북대 보건대학원에 의뢰해 사고를 전후한 유산율 사산율 기형아 출산율 신생아 사망률 등을 조사했지만 특이한 점이 발견되지 않아 피해가 인정되지 않았다는 것이다
514, 그래도 두산전자는 조업 정지를 포함해 막대한 금전적 손실을 감수해야 했다
515, 두산전자는 환경분쟁조정을 통해 .명에게 총 .억 .만원을 분쟁조정을 받아들이지 않고 민사 소송을 제기한 임산부 .명에게는 .억.만원을 배상했다
516, .년 .월 .일 대구시 페놀피해임산부모임 대표자 .명이 환경처에서 피해보상을 요구하며 농성을 벌이고 있다
517, 중앙포토 두산전자는 또 상수도 요금 감면에 따른 피해와 내버린 수돗물 값 수도권 등의 청소비 명목으로 대구시에 .억.만원을 배상했다
518, 시민 .만.여 명에게도 .억 원을 직접 배상했다
519, 오비맥주 불매운동 때문에 업계 .위였던 오비맥주는 이후 .청정 암반수.를 내세운 하이트맥주에 밀려 고전을 면치 못했다
520, 최 소장은 .페놀 사고는 환경문제를 제대로 대처하지 못하면 기업들도 살아남기 어렵다는 점을 직접 보여준 사례.라고 말했다
521, 환경부.환경단체 비약적 성장 계기 대전 하수처리장. 중앙포토 페놀 오염사고와 더불어 .년 브라질 리우 환경정상회의를 계기로 환경문제에 대한 시민들의 관심이 커졌다
522, 신문에서도 환경 캠페인이 시작됐고 언론의 환경 관련 보도가 크게 늘었다
523, 국내 최대의 환경단체이자 전국 규모인 환경운동연합이 출범한 것도 .년이다
524, 여러 환경단체가 규모를 키웠다
525, 환경 운동의 대중화가 본격화한 것이다
526, 최 소장은 .현장에 가면 답이 나온다는 생각으로 피해자들과 접촉을 늘렸고 시민 환경단체와 피해자 주민들이 본격적으로 연대하기 시작한 시기였다
527,고 말했다
528, 낙동강 페놀 오염사고는 그렇게 끝나는가 싶었는데 .년 .월 낙동강에서 다시 벤젠.톨루엔이 다량 검출되는 .차 낙동강 오염 사고가 발생했다
529, 시민들 비난이 쏟아지자 당시 정부는 지방상수도 업무를 건설부에서 환경처로 이관하는 등 맑은 물 공급 대책을 내놓았다
530, 정수장과 수돗물 생산 관리 하수도 업무를 환경처가 맡게 된 것이다
531, 세종청사 환경부 건물. 환경부 심 회장은 .년 초 환경처가 환경부로 승격됐는데 .환경 사고가 터질수록 환경부는 더 커진다
532,는 얘기가 나돌았다
533,며 .저도 수질보전국장에 임명돼 상하수도 등에 .조 원을 투자하는 .환경개선 중기 종합계획.을 수립하는 데 참여했다
534,고 말했다
535, 당시로써는 .조원은 절대로 적지 않은 돈이었다
536, 그때부터 환경 분야 투자가 본격화되면서 당시 .가 채 안 됐던 하수도 보급률도 이제는 .를 웃돌고 있다
537, 고도정수처리 시스템을 갖춘 정수장도 이제는 시설용량 기준으로 .를 넘어섰다
538, 환경부는 .년까지 수질 개선을 위해 .조원이 .년 .조원의 예산을 수질 개선과 상하수도 분야에 투자했다
539, .년 이후에도 연간 .조.조원의 예산이 수질 개선 분야에 투입되고 있다
540, 직접 수질오염 사고 방지에 필요한 완충 저류시설도 낙동강 수계 .곳대구.경북 .곳 경남 .곳에 들어섰다
541, 공장 폐수를 곧바로 공공수역으로 배출하지 않고 일정 시간 저장해 문제가 없을 때만 내보내는 시설이다
542, 일정 규모 이상의 공장이나 공단에 설치하게 돼 있고 전국 .곳이 설치 대상이지만 현재 낙동강을 포함해 현재 전국 .곳만 설치돼 있다
543, .년 전에 시작된 물 관리 업무 일원화는 오랫동안 지지부진했으나 .년 하천관리 업무만 남기고 수자원 등 업무가 환경부로 이관됐다
544, 지난해 유례없는 긴 장마와 홍수를 겪으면서 국토교통부가 마지막까지 갖고 있던 하천관리 기능도 환경부로 이관됐다
545, 이제 농업용수를 제외한 대부분의 물 관리 업무가 환경부로 통합됐다
546, 심 회장은 .년대에는 환경부 공무원들이 도전적으로 일을 진행했고 당장 얻어터지는 한이 있더라도 시민.언론과 소통하기 위해 노력했다
547,고 회고했다
548, 주요 상수원 수질이나 대기오염도를 매달 보도자료로 내기도 하고 대기오염 전광판을 거리에 세우기도 했다는 것이다
549, 심 회장은 .년 .월 전국 동시에 쓰레기 종량제를 도입할 때 환경부에서 실무 책임자인 폐기물정책과장을 맡아 뚝심을 발휘하기도 했다
550, 그는 환경부 주요 직책을 두루 맡은 뒤 기획관리실장을 끝으로 환경부를 떠났다
551, 환경운동가 출신 이재용.김은경 장관 지내 노무현 정부에서 환경부 장관을 지낸 이재용 씨는 .년대부터 대구에서 환경운동을 주도했다
552, 중앙포토 페놀 오염사고 당시 대구지역에서 환경 운동을 주도했던 두 사람이 환경부 장관에 임명되기도 했다
553, 노무현 정부 때인 .년 환경부 장관을 지낸 이재용 씨는 대구에서 치과병원을 개업했고 .년대부터 환경문제에 관심을 가지고 다양한 활동을 했다
554, 특히 대구공해추방 운동협의회 준비 모임을 주도하다 페놀 오염사고를 맞았고 대구시 수돗물 사태 시민단체 대책회의를 주도했다
555, 전통적으로 보수 성향이 강한 대구지역이었지만 페놀 선거 등의 분위를 타고 이재용 전 장관은 .년 지방선거에서 무소속으로 대구 남구청장에 당선됐고 재선에도 성공했다
556, .년 열린우리당에 합류한 뒤 국회의원 선거에서 패배했지만 노 전 대통령이 환경부 장관에 임명했다
557, 김은경 환경부 장관이 .년 .월 정부 세종청사에서 열린 이임식에서 이임사를 하고 있다
558, 김 장관은 .년 페놀 오염 사고 당시 대구에서 거주했고 페놀 오염사고를 계기로 환경운동에 뛰어들어 환경부 장관을 지냈다
559,뉴시스 문재인 정부 첫 환경부 장관을 지낸 김은경 씨가 페놀 오염사고를 맞은 것은 외환은행을 다니다 결혼 후 시댁이 있는 대구에서 전업주부로 생활할 때였다
560, 당시 젖먹이 아들을 키우고 있던 김 전 장관은 오염된 수돗물에 노출됐고 피해자가 됐다
561, 당시 대구 등 영남 지역 주민들은 환경처에 환경분쟁조정 신청을 하는 등 피해 보상을 받기 위한 활동을 벌였는데 김 전 장관도 여기에 적극적으로 참여하면서 .페놀 아줌마.라는 별명을 얻었다
562, 이후 서울로 이사한 뒤 노원구 상계동을 중심으로 벌어진 소각장 반대 주민운동에 적극적으로 나섰다
563, 이런 활동 덕분에 .년 노원구 의원 .년 서울시 의원에 당선됐다
564, 김 전 장관은 .년 노무현 전 대통령 후보 시절 대선 캠프에서 환경특보로 일했고 노 전 대통령 당선 이후에는 대통령직인수위원회 환경전문위원 청와대 지속가능발전비서관 등을 맡아 참여정부 내내 함께했다
565, 환경운동가 출신인 김 전 장관은 국립공원인 흑산도에 공항을 설치하는 데 반대했다가 정권에 미운 털이 박혀 장관직에서 물러났다
566, 현재는 이른바 환경부 블랙리스트 사건에 연루돼 현재 수감 중이다
567, 낙동강 수질 문제 여전히 진행형 구지 오토캠핑장 인근 낙동강에서 관찰된 녹조. 중앙포토 하지만 .년 전 낙동강 페놀 사고로 드러났던 과제가 아직도 해결되지 않은 채 남아있다
568, .년에 시작됐지만 .년에야 표면에 떠오른 가습기 살균제 사건이나 .년에 발생했던 구미 불산 사고처럼 언제 어디서 페놀 오염사고 같은 게 벌어질지 불안한 것도 사실이다
569, 당장 지난해 .월 서울 마포구 성산 시영아파트 온수에서 페놀이 검출되기도 했다
570, 인천에서는 .년 가정 수도꼭지에서 붉은 수돗물이 흘러나왔고 지난해에는 역시 인천 수돗물에서 깔따구 유충이 나오기도 했다
571, 환경 시설은 크게 확충됐지만 베이비붐이 끝나면서 시설을 꼼꼼하게 관리할 경험 많은 인력이 떠나 언제든지 수돗물 오염사고가 터질 수 있다는 지적이 나온다
572, 지난해 여름 인천 서구 일대 수돗물에서 발견된 유충. 연합뉴스 낙동강 자체의 수질 문제도 남았다
573, 이명박 정부에서 .대강 살리기 사업.으로 전국 .대강에 .개 보를 설치했는데 그중 .개가 낙동강에 설치돼 있다
574, 보로 인해 체류 시간이 늘어나면서 여름철에는 녹조 발생 우려가 제기되고 있다
575, 녹조 생물인 시아노박테리아로 인해 유해물질이 발생할 수 있어 정수처리에도 더 많이 신경을 써야 할 상황이다
576, 낙동강 상류 내청천에 설치된 영주댐의 녹조. 내성천 보존회 경북 봉화 석포제련소. 대기오염과 수질오염 토양오염으로 낙동강 상류를 오염시킨다는 비판을 받고 있다
577, 중앙포토 낙동강 상류 내성천에 위치한 영주댐이나 봉화군의 영풍 석포제련소 주변에 쌓인 중금속 등 오염물질도 낙동강 수질을 위협하는 요인이다
578, . .다이옥산 검출 등 상류 도시와 공단으로 인한 상수원 수질 악화 탓에 대구시나 부산시가 낙동강 취수원을 상류로 이전하겠다고 나서는 바람에 지방자치단체 간 갈등도 빚어진다
579, 페놀 사고 이후 강화되던 환경 규제도 .년 외환위기를 맞으면서 대폭 완화됐다
580, 각 기업이 의무 고용했던 환경 관리 인력의 자격을 완화하고 인원도 줄일 수 있도록 허용한 것이 대표적인 사례다
581, 박근혜 전 대통령은 .규제는 암 덩어리.라고 했고 환경부의 화학물질 규제와 관련해 .악마는 디테일에 있다
582,고 질타하는 사이 국민의 생명과 안전보다 기업 활동을 우선하는 분위기가 퍼졌다
583, 석포제련소는 물론 여수.울산 등의 대기업조차 굴뚝의 원격 오염 측정 장치의 수치를 조작하다 적발되기도 한다
584, 이명박 정부의 .대강 사업 박근혜 정부의 설악산 케이블카 사업을 .울며 겨자 먹기 식.으로 도왔던 환경부 관료들은 이제 .년대 페놀 오염 사고 때 보였던 투철한 사명감을 잃어가고 있다는 지적이 환경부 주변에서 나온다
585, 퇴직한 일부 환경부 고위공직자들은 기업이나 로펌에 영입돼 오염 기업을 위해 봉사하는 게 아니냐는 곱지 않은 시선을 받기도 한다
586, 지난 .년 환경부의 조직과 예산은 엄청나게 확대됐지만 시민들은 여전히 미세먼지로 답답한 시간을 보내야 하고 마음 놓고 수돗물을 마시지 못하고 있다
587, 류희림 재문화엑스포 사무총장. 대구총국 기자 당시 특종 보도했던 그는 .년이 지난 지금도 페놀 오염사고을 잊지 못하고 있다
588, 그는 .년 으로 옮겼고 경영기획실장과 사이언스 본부장 플러스 대표이사를 역임했다
589, 강찬수 환경전문기자 .다
590,환경 오염을 이유로 지난 .일현지시간 한국 선박 한국케미호를 나포한 이란이 정작 관련 증거를 나흘째 제시하지 않고 있다
591, 외교부 당국자는 .일 기자들과 만나 .이란에 환경 오염 주장 관련 증거를 요청했지만 아직 받은 게 없고 기다리는 상황이다
592, 그 과정에서 관련 사실관계와 법적 관계를 계속 검토할 것.이라고 설명했다
593, 이 당국자는 이란 측에 제시할 협상안에 대해선 .아직 이란 현장에서 협의가 이뤄지지 않아 조금 더 지켜봐야 할 것 같다
594,며 .여러 가지 창의적인 방안들을 생각하고 있다
595,고 밝혔다
596, 이와 관련 외교가에선 이란 측이 한국 정부에 동결자금 .억 달러 중 .억 달러를 활용해 의료 장비를 구매해달라고 요청했다는 얘기가 나오고 있다
597, 외교부 당국자는 선박 억류 문제에 대해 .최 차관이 협상 계기마다 테이블을 가리지 않고 중요 관심사로 제기하고 소통할 것.이라고 강조했다
598, 선박 억류를 법적인 절차로 규정하고 외교적 방문이 필요하지 않다는 입장을 강조한 이란 측과 달리 우리 정부에선 억류 해제를 협상의 제.목표로 삼겠다는 의지를 드러낸 셈이다
599, 앞서 사이드 하티브자데 이란 외무부 대변인은 .일현지시간 .선박 억류 문제는 법적 절차로 진행될 것이므로 외교적 방문이 필요하지 않다
600,고 선을 그은 바 있다
601, 협상 과정에선 한국에 동결된 이란의 원유수출대금 .억 달러.조.억원와 관련한 논의도 이뤄질 것으로 예상된다
602, 최영삼 외교부 대변인은 .일 정례브리핑에서 .비단 재정적인 문제뿐만 아니라 공동의 보건문제 등 포괄적인 협의가 있을 것으로 기대한다
603,고 말했다
604, 한편 주이란 한국대사관 관계자는 지난 .일현지시간 이란 반다르아바스에 억류 중인 한국케미호의 선원 한 명을 만나 안전을 확인했다
605, 대사관 측과 면담했던 선원은 .이란 측의 폭력이나 위협 행위는 없었다
606,고 진술했다고 한다
607, 고경석 외교부 아프리카중동국장을 단장으로 하는 정부 대표단은 .일 새벽 이란으로 향해 조기 억류 해제를 위한 실무 준비를 시작했다
608, 박현주 기자 .다
609,.개 시.도 실무자들이 .일 회의 뒤 일본 정부의 방사능 오염수 해양방류 결정 철회를 촉구하고 있다
610, 사진 부산시 부산.경남 등 한일해협을 사이에 두고 일본과 가까운 국내 .개 시.도가 일본 정부의 후쿠시마 원전 방사능 오염수 해양 방류 결정에 공동 대응한다
611, 부산.울산.경남.전남.제주 등 한일해협을 사이에 둔 .개 시.도는 .일 오전 부산시청에서 회의를 열고 일본 정부의 후쿠시마 방사능 오염수 해양 방류 결정에 공동 대응하기로 결정했다고 .일 밝혔다
612, 이들 .개 시.도는 앞서 지난해 .월 일본 후쿠시마 방사능 오염수 해양 방류를 저지하기 위해 실무 대책협의회를 구성하고 공동건의문을 마련해 대한민국 시도지사협의회에 전달했다
