,언론사,제목,내용
151,서울신문,붉은 먹거리가 뜬다,선인장 열매즙·딸기 도넛 등 잇따라 출시 딸기철이 다가오면서 딸기·라즈베리·복분자 등 붉은 빛깔 먹거리들이 속속 출시되고 있다 빛깔이 예쁠 뿐 아니라 항산화 성분 등이 들어 있는 것으로 밝혀지고 있어 식음료계의 러브콜이 한동안 이어질 전망이다 133050 12 12 12 12 12 06 133050 133050 도넛류가 딸기류와 가장 먼저 손을 잡았다 던킨 도너츠는 타임지가 선정한 10대 건강식품 가운데 하나인 블루베리를 넣은 ‘블루베리 머핀’을 내놓았다 이밖에 11종류의 베리류 도넛과 블루베리 라테를 출시했다 도넛플랜트뉴욕시티는 딸기 글레이즈를 바른 사각 도넛인 ‘스트로베리스트로베리크림 도넛’ 등 3종의 딸기 도넛을 판매한다 배스킨라빈스에서는 북유럽산 야생 라즈베리에 쌀을 첨가한 ‘라즈베리 크런치’를 선보였다 레드망고는 딸기·크랜베리·망고·자몽 맛의 신제품 ‘후레쉬 요거트 라떼’를 출시했다 할리스커피는 ‘딸기 와플’·‘라즈베리 카페모카’ 등을 내놓고 다음달 12일까지 경품 행사를 연다1000 400 400 400 400 400 135 11203 210102020 업비트 투자자 보호 센터 다른 붉은 음료도 제품화가 활발하다 풀무원녹즙은 멕시코 선인장 열매인 뚜나를 갈아서 만든 ‘뚜나혼합즙’을 선보였다 뚜나는 백년초의 멕시코식 이름이다 롯데칠성음료는 기존의 ‘미녀는 석류를 좋아해’보다 석류과즙 함유량을 50까지 높인 ‘미녀는 석류를 좋아해 퀸’을 내놓았다홍희경기자
152,세계일보,"풀무원, 어린이 바른먹거리 교육에 ‘코로나19 예방 교육’ 실시",신종코로나 바이러스 감염증코로나19 장기화로 개인 위생수칙 준수가 더욱 중요해진 가운데 풀무원이 어린이 눈높이에 맞춘 바이러스 감염병 예방 교육을 실시한다 풀무원대표 이효율은 비영리 공익법인 풀무원재단이 올해 실시하는 모든 어린이 교육에 감염병 예방 교육을 추가하고 효과적인 어린이 교육을 위해 발간한 ‘바이러스 감염병 예방을 위한 교사용 지도서’를 초등교사에 무료로 배포한다고 18일 밝혔다 기존 예방 교육 자료가 대부분 성인을 대상으로 하고 있기 때문에 어린이들은 정확한 이유를 모른 채 기계적으로 손을 씻고 마스크를 착용해왔다 풀무원재단은 이러한 점을 보완하여 ‘왜 예방수칙을 실천해야 하는지’를 쉽게 이해하고 받아들일 수 있게 했다 코로나19에 대한 정확한 정보를 전달해 과도한 공포심을 갖지 않도록 하는 데도 각별히 주의를 기울였다 수년간 아이들을 대상으로 바른먹거리 교육 환경 교육 등 건강한 생활습관을 심어주는 다양한 교육들을 펼쳐 쌓은 노하우가 바탕이 되었다 풀무원재단의 감염병 예방 교육은 교육현장에서 교사들이 바이러스에 대해 먼저 정확한 지식을 습득한 뒤 학생들을 교육하여 초등학교 저학년까지도 감염 예방 수칙 실천의 필요성을 공감하고 생활화하도록 독려하는 데 중점을 뒀다 교육 프로그램은 1520분 분량의 집약적 구성으로 집중도를 높였다 바이러스 감염병과 코로나19의 특징 감염 경로 등의 기본 지식을 먼저 교육한 후 이러한 속성에 대응할 수 있는 예방수칙을 지도하는 것으로 아이들의 이해를 돕는 방식이다 시청각 보조자료로 ‘코로나19 예방 캠페인 영상’도 활용한다 이는 세계보건기구가 제작 보급한 동명의 영상을 풀무원재단이 자체 한글 번역한 뒤 내레이션을 삽입한 버전이다 교사들이 교육현장에서 활용할 수 있도록 바이러스 감염병 예방을 위한 교사용 지도서도 발간했다 국내 코로나19 방역 업무를 총괄한 질병관리본부를 비롯하여 세계보건기구 기초과학연구원 유니세프 식품의약품안전처 등의 바이러스 감염병 관련 공신력 높은 자료를 유기적으로 쉽게 이해할 수 있도록 풀어 썼다 교사용 지도서는 아이들 교육에 실적적으로 도움이 될 수 있도록 ▲바이러스는 무엇인가 ▲바이러스는 어떻게 감염되고 전염되는가 ▲바이러스 감염병은 어떻게 예방할 수 있는가 ▲교육학습 안내서 등 크게 4개 챕터로 구성돼 있다 특히 ‘교육학습 안내서’에는 1520분 분량의 교육학습 시나리오도 함께 삽입되어 교육현장에서 바로 활용할 수 있다 한편 풀무원재단은 올해 어린이 바른먹거리 교육과 바른청소교실 푸른바다교실 등 3대 생활습관 교육을 초등학생 대상으로 총 1840회 진행할 계획이다 어린이 생활습관 교육을 희망하는 교사는 풀무원재단의 생활습관 교육을 협력하여 운영하는 식문화교육 전문 사단법인 ‘푸드포체인지 홈페이지와 환경교육 전문 사회적기업 ‘샤인임팩트’ 홈페이지에서 신청하면 된다 교사용 지도서만 받기를 원하는 교사는 풀무원재단 홈페이지 자료실에서 파일을 내려받아 활용할 수 있다 풀무원재단 김유별 생활습관교육 사업담당은 “어린이 생활습관 교육을 중점으로 하는 재단으로서 이 같은 예방 교육이 코로나19 장기화가 예상되고 등교개학이 시작된 시점에 아이들을 위한 가장 의미 있는 사회공헌활동이 될 것이라 생각했다“며 “아이들을 건강하게 지켜나갈 책임감에 어린이 교육사업의 경험을 더해 아이들을 위한 바이러스 감염병 예방 교육을 신설하고 교사용 지도서까지 발간하게 되었다”고 설명했다 김현주 기자 20200618101554 20210630130000 20200618508150 04 46 68 ⓒ 세계일보 무단전재 및 재배포 금지
153,세계일보,"풀무원, 60대 이상 고연령층 대상으로 '바른먹거리 교육' 진행했더니…",시니어 바른먹거리 교육 대사증후군 326 개선 효과 풀무원대표 이효율은 지난해 농촌 지역 시니어 식생활 개선 사업 ‘시니어 바른먹거리 교육’을 충북 음성군 수태리 마을과 동음리 마을 시니어를 대상으로 실시한 결과 대사증후군 진단을 받은 43명 중 14명326이 개선되는 등 건강지표 수치에 긍정적인 효과가 나타났다고 15일 밝혔다 지난해 풀무원재단은 음성보건소와 함께 음성군 수태리 마을과 동음리 마을에 거주하는 시니어 64명을 대상으로 건강검진을 실시하고 각 5개월간 마을밥상 제공 식생활 및 건강생활 교육 영양 상담 건강기능식품 지원 등을 제공했다 2019년 시니어 바른먹거리 교육의 가장 의미 있는 성과는 대사증후군 진단을 받은 시니어 중 326가 교육 후 개선된 점이다 교육 전 대사증후군 진단을 받은 시니어는 모두 43명으로 교육 후 검진에서는 14명의 시니어가 정상 판정을 받았다 대사증후군이란 복부비만 고혈당 고혈압 낮은 콜레스테롤 수치 중성지방 과다와 같은 위험인자를 한꺼번에 3가지 이상 가지고 있는 상태를 말한다 보건복지부 자료에 따르면 대사증후군은 특별한 증상이 잘 나타나지 않음으로 방치하면 심혈관질환 뇌졸중 등 발병 위험이 2배 이상 당뇨병 발병 위험이 10배 이상 높아진다고 한다 작년 교육을 끝까지 이수한 64명은 대사증후군 위험 인자 수치들이 긍정적인 방향으로 변했다 특히 두 마을 모두 체중 허리둘레 중성지방 공복혈당 등의 수치는 교육 후 유의적으로 개선되었다 64명의 평균 허리둘레 수치는 91에서 88로 줄었다 남성 시니어는 92에서 89로 여성 시니어는 90에서 88로 줄었으며 국내 의학 기준에서 허리둘레는 남자 90 미만 여자 85 미만으로 유지할 것을 권장한다 중성지방 수치는 150 이하로 유지할 것을 권장하는데 작년 교육 후 평균 중성지방 수치는 178에서 132로 대폭 줄었다 평균 공복혈당도 108에서 98로 감소했다 공복혈당은 100 이하로 유지하는 것을 권장하고 있으며 126 이상이면 당뇨병 환자로 의심한다 소위 ‘나쁜 콜레스테롤’이라 불리는 콜레스테롤 수치는 평균 101에서 97로 줄었고 ‘좋은 콜레스테롤’이라 불리는 콜레스테롤 수치는 평균 50에서 52로 상승했다 수축기 혈압 역시 평균 149에서 139로 이완기 혈압은 평균 85에서 83로 감소했다 참여자별로 개인적인 차이는 있으나 5개월간의 교육 기간 동안 큰 폭으로 수치 변화가 일어난 사례도 있다 만 80세인 한 시니어는 사전 중성지방 수치가 337에 달했으나 교육 후 144로 대폭 감소하였다 또 수축기 혈압이 182 에 달해 고혈압약을 복용 중이던 만 70세 시니어는 교육 후 108을 기록하며 정상 수치로 내려왔다 풀무원재단 윤민호 사무국장은 “5개월이라는 교육 기간 동안 어르신들의 긍정적인 변화가 있었지만 대사증후군은 평소 건강한 생활습관을 계속해서 이어 나가는 것이 매우 중요하다”라며 “풀무원은 바른먹거리 가치를 전파하는 로하스 기업으로서 앞으로도 시니어 건강증진을 위해 노력하겠다”고 말했다 ‘시니어 바른먹거리 교육’은 비영리 공익법인 풀무원재단이 2017년부터 농촌 지역 어르신들의 ‘식생활 개선을 통한 건강 증진’이라는 공익적 목표로 시작한 국내 최초의 ‘시니어 식생활 개선 사업’이다 풀무원재단은 2017년 시범 운영을 시작하였고 2018년 음성군보건소와 업무협약을 체결하며 본격 사업 시행에 나섰다 한편 대사증후군은 60대 이상 연령층에서 높은 비율로 나타나고 있다 건강보험공단이 발표한 ‘2018 건강검진 통계연보’에 따르면 2018년 건강검진 수검자 1천5백만 명 중 304가 대사증후군인 것으로 나타났다 특히 60대는 390 70대는 479 80대 이상은 476 가 대사증후군인 것으로 나타났다 만 65세 이상의 고령 인구 중 절반에 가까운 인원이 대사증후군을 앓고 있는 셈이라 더욱 각별한 관리가 필요하다 김현주 기자 20200115141942 20210630130000 20200115508988 04 46 68 ⓒ 세계일보 무단전재 및 재배포 금지
154,세계일보,"풀무원, 농촌 지역 고령자 대상 '시니어 바른먹거리 교육' 실시 ",우리나라 대부분 농촌 지역이 초고령사회로 진입한 가운데 풀무원이 충북 음성군 시니어 주민을 대상으로 식생활 개선 사업을 시행한다 풀무원은 국내 최초 농촌 지역 시니어 식생활 개선 사업인 ‘시니어 바른먹거리 교육’을 3년 차인 올해 음성군 2개 마을 고령자를 대상으로 진행하기로 했다고 14일 밝혔다 풀무원은 2017년부터 농촌 지역 시니어에 올바른 식생활 정보와 건강증진 프로그램을 제공하는 식생활 개선 사업인 ‘시니어 바른먹거리 교육’을 우리나라에서 가장 먼저 시작했다 풀무원의 사회공헌 활동을 전문적으로 수행하는 비영리 공익법인 풀무원재단이 맡아 운영하고 있다 김현주 기자 336 280 0 0 0 10 10 450 20190314153200 20210630130000 20190314511243 04 46 68 ⓒ 세계일보 무단전재 및 재배포 금지
155,세계일보,"풀무원 '바른먹거리 교육', 8년 만에 누적 어린이 10만명 돌파",국내 기업에서 처음으로 2010년 어린이들의 식습관 개선을 위해 시작한 풀무원의 어린이 바른먹거리 교육이 지난 8년간 10만여명을 교육하는 성과를 거둔 것으로 나타났다풀무원은 어린이들에게 바른식습관을 길러주는 대표적인 조기 식습관 교육인 어린이 바른먹거리 교육이 2010년 처음 교육을 한 지 8년 만에 누적 교육인원 10만명을 돌파했다고 1일 밝혔다풀무원은 2020년까지 10만명 교육을 목표로 했으나 매년 어린이집과 초등학교에서 교육 신청이 정원의 3배 이상을 넘는 등 좋은 반응이 이어지면서 목표를 2년 앞당겨 조기 달성하는 쾌거를 이뤘다바른먹거리 교육 첫해인 2010년 360명에 불과했던 교육인원은 이듬해 4843명으로 10배 이상 늘었으며 2014년에는 1만명을 넘어선 데 이어 2016년부터는 매번 2만명 이상 교육받는 것으로 조사됐다 지난 6월말을 기준으로 누적 교육인원은 10만1385명8년간 총 4227회으로 집계됐다 풀무원의 바른먹거리 교육에 참가한 선생님과 아이들 풀무원 제공 풀무원의 바른먹거리 교육은 △식품표시확인 교육 △미각 교육 △영양균형 교육 등 총 3가지로 교육과정을 나누어 체계적인 커리큘럼을 갖추고 있으며 어린이들이 식품표시를 잘 인식하고 영양균형과 미각에 대해 알게 돼 바른식습관 형성에 도움이 되는 것으로 조사됐다 지난해 교육을 받은 초등학생 1만579명과 교사 494명을 대상으로 만족도를 조사한 결과 학생의 90 교사의 996가 교육에 만족한다고 답했다 학생의 80는 다른 친구에게도 추천하겠다고 답했다 어린이집의 한 교사는 참관 소감서에서 “당근을 평소에 먹지 않는 유아가 있었는데 오감으로 맛을 보면서 먹는 모습을 볼 수 있어서 편식에 도움이 된 것 같다”고 했으며 다른 교사는 “채소를 잘 먹으려고 하지 않는 어린이들이 오히려 교육에 더 열심히 참여하고 먹어보며 즐거워하는 모습을 볼 수 있었다”고 밝혔다 초등학교의 한 교사는 “생활 속에서 접할 수 있는 식품의 유통기한 영양성분 원재료명 및 함량을 직접 살펴보고 공부해보는 좋은 시간이었다”며 “아이들이 교육을 통해 건강한 먹거리를 스스로 선택하는 눈이 길러졌다고 생각한다”고 소감을 밝혔다 영양균형과 미각교육을 받은 한 초등학생은 “파프리카를 싫어했는데 한번 먹어보니 맛있었다며 너무 재미있었고 또 했으면 좋겠다”고 했으며 다른 학생은 “수업을 통해 음식을 골고루 먹을 수 있었고 다른 친구들도 참여하면 좋겠다”고 교육소감을 밝혔다 풀무원 관계자는 “‘어린이 바른먹거리 교육’은 풀무원의 대표적인 사회공헌활동으로 시작 8년 만에 국내 대표 조기 식습관 교육으로 자리매김하는 성과를 이루었다”며 “어린이뿐 아니라 성인 시니어까지 대상을 확대한 바른먹거리 교육을 앞으로 범국민적 식생활 교육으로 더욱 강화해 나갈 계획”이라고 말했다 김동환 기자 20180801153628 20210630130000 20180801003902 04 46 68 ⓒ 세계일보 무단전재 및 재배포 금지
156,세계일보,"풀무원, 올해 어린이 2만명 대상 '바른먹거리 교육'",전국 돌며 초등학생·학부모 대상 880회 진행 바른먹거리 교육현장 사진풀무원 풀무원은 올해 2만2000명을 대상으로 바른먹거리 캠페인 교육을 실시할 계획이라고 3일 밝혔다 올해로 8년째를 맞는 이 프로그램은 오는 8일 서울 은평구 은평구립도서관을 시작으로 전국을 돌며 880회 진행될 예정이다 이 프로그램은 서울 및 수도권 부산 광주지역 유치부67세 330회 초등학생34학년 400회 초등학생24학년 자녀를 둔 학부모 대상 150회를 진행된다 무료교육 대상자는 2만2000여명에 이른다 바른먹거리 캠페인 교육은 어릴 때부터 건강한 먹거리와 친해지고 균형 잡힌 올바른 식습관을 형성하기 위해 마련된 풀무원의 먹거리 조기 교육 프로그램이다 풀무원은 지난 7년간 3000회에 걸쳐 7만 여명에게 교육을 실시했다 이 프로그램은 풀무원에 바른먹거리 캠페인 교육을 위탁 받은 사단법인 푸드포체인지의 식생활 전문 교육 강사인 푸듀케이터푸드와 에듀케이터의 합성어가 유치원 어린이집 초등학교 및 지역아동센터에 직접 찾아가는 방식으로 이뤄진다 바른먹거리 캠페인 교육’은 미각 교육 식품표시 확인 교육 영양균형 교육 등을 주제로 프로그램이 구성된다 특히 올해부터 풀무원이 제안하는 211식사법 교육을 추가해 균형 잡힌 식사의 중요성을 자세히 알릴 계획이다 211식사법은 신선한 채소 포화지방이 적은 단백질 거친 통곡물을 211 비율로 골고루 섭취하는 식사법을 뜻한다 풀무원은 바른먹거리 캠페인 교육 참석자의 만족도가 높다고 자평했다 이 회사가 진행한 자체 만족도 조사 결과를 보면 학부모아이 교육을 받은 학부모 1605명 중 935가 만족한다고 답변했다 이지영 풀무원재단 담당은 올해 8년차를 맞은 바른먹거리 캠페인 교육은 명실공히 국내를 대표하는 조기 식생활교육으로 자리잡았다며 특히 이번 교육부터 건강한 식생활과 영양균형을 강조하는 211식사법을 추가해 로하스 식생활의 대중화를 위해 노력할 것이라고 말했다 오현승 기자 세계파이낸스 20170303170900 20210630130000 20170303002542 04 46 68 ⓒ 세계일보 무단전재 및 재배포 금지
157,세계일보,"풀무원과 푸드머스, 바른 먹거리 캠페인 나선다",풀무원과 푸드머스가 고령사회를 맞아 고령자를 위한 바른먹거리 캠페인에 나선다풀무원과 식자재 유통전문기업 푸드머스는 고령사회에 진입하는 내년부터 시니어 식생활개선 사업을 본격적으로 시행한다고 1일 밝혔다우리나라는 내년에 65세 인구가 14 이상을 차지하는 고령사회로 진입할 전망이다 이에 맞춰 풀무원과 푸드머스는 내년부터 지역을 확대해 고령자 비율이 높은 농촌 3개 마을을 지정하고 총 120회에 걸쳐 시니어 식생활개선 사업을 운영한다 앞서 올해는 충북 음성군대소면 연호동 마을 고령자 24명을 대상으로 지정해 시범 운영하고 있다이번 사업은 ▲공동급식 마을밥상 운영 ▲영양상담 ▲찾아가는 식생활 교육 등 3개 프로그램으로 운영된다 풀무원이 전체 프로그램을 기획 운영하고 푸드머스는 이 사업의 모든 식자재를 공급한다우리나라는 최근 고령인구가 빠르게 증가하고 있지만 고령자들의 잘못된 식습관·식생활에 따른 영양섭취 부족과 불균형 노인비만이 증가하고 있다 이에따라 시니어를 위한 체계적인 식생활교육이 필요하다는 게 풀무원과 푸드머스의 판단이다푸드머스는 이 사업의 핵심 프로그램 마을밥상에 2015년 국내 최초로 출범한 시니어 전문 브랜드 소프트메이드 제품을 제공한다 소프트메이드는 고령자의 치아상태에 따른 저작음식을 씹는능력을 4단계로 구분해 부드럽게 하면서 영양균형을 맞춘 고령자친화식품이다김현희 푸드머스 팀장은 이 사업을 시범 운영한지 4개월차가 됐는데 음주 횟수를 줄이고 흰쌀밥 섭취량을 줄이는 등 어르신들의 긍정적인 식습관 변화가 보인다며 올해 사업성과를 바탕으로 내년에는 더 많은 고령자분들이 건강한식생활을 실천할 수 있도록 사업을 확대해 나갈 계획이라고 말했다김기환 유통전문기자 20171002030000 20210630130000 20171001000753 04 46 68 ⓒ 세계일보 무단전재 및 재배포 금지
158,세계일보,"풀무원재단, ‘바른먹거리 확인 캠페인’ 하반기 교육 확대 실시",식생활 캠페인 교육을 전문으로 하는 사회적 기업 ‘푸드포체인지’와 함께 진행풀무원재단이 어린이들에게 바른먹거리 선택법을 알려주는 ‘바른먹거리 확인 캠페인’ 하반기 교육을 확대 시행한다풀무원재단은 식생활 캠페인 교육을 전문으로 하는 사회적 기업 ‘푸드포체인지’대표 노 민영와 손잡고 교육 대상을 초등학생에서 유아 자녀와 부모로 넓혀 확대 실시할 계획이다‘바른먹거리 확인 캠페인’ 하반기 교육은 지난 9월 13일부터 시작해 12월 10일까지 진행될 예정으로 ‘푸드포체인지’ 홈페이지에서 3차에 걸쳐 신청할 수 있다 각 차별 접수 일정과 현황은 푸드포체인지 홈페이지에서 확인할 수 있다‘푸드포체인지’는 바른 식문화 정립을 위한 식생활 캠페인과 바른먹거리 교육 사업을 전문적으로 하는 비영리사단법인 형태의 사회적 기업으로 지난 8월 30일 공식 출범했다 ‘푸드포체인지’는 바른 식생활 교육프로그램 개발 및 바른 식생활 교육 전문강사인 ‘푸듀케이터’를 양성하고수업 현장에 파견 어린이들에게 바른먹거리의 개념 식품첨가물 영양소 등의 성분표시 유통기한 등 바른먹거리를 선택하는방법에 대해 알기 쉽게 가르치는바른먹거리 교육을 진행한다 초등학생 유아로 교육 대상 확대하고 하반기 총 180회 수업 진행‘바른먹거리 확인 캠페인’은 기존에 초등학교 34학년 어린이를 대상으로 교육을 진행하였으나 하반기부터는 미취학 어린이들을 대상으로 한 유치부 수업이 새로 개설돼 67세 어린이들도 바른먹거리 확인 캠페인 교육에 참가할 수 있게 됐다 참가 대상이 확대됨에 따라 교육 횟수도 상반기 60회에서 하반기에는 초등학생 90회와 유치부 90회 등 총 180회로 대폭 확대됐다풀무원재단은 유치부 어린이를 위한 커리큘럼도 새로 마련했다 영양균형과 식품표시를 주제로 한 동화를 팝업북 형태로 제작하는 한편 ‘바른먹거리 송’을 만들어 아이들이 쉽고 재미있게 놀면서 자연스럽게 바른먹거리에 대한 인식을 높일 수 있도록 했다 오감을 활용해 제철 식재료를 맛보는 미각체험 시간도 갖는다 교육과학기술부와 ‘밥상머리교육·바른먹거리 실천’ 교육 프로그램도 10회 운영이 밖에 풀무원재단은 교육과학기술부가 인성 교육을 위해 중점적으로 추진하고 있는 밥상머리교육을 범사회적으로 확산시키는데 일조하고자 ‘밥상머리교육·바른먹거리 실천’ 캠페인을 함께 진행해 나가기로 했다 풀무원재단은 교육과학기술부와 함께 식재료 구입에서 요리 밥상 차리기까지 전 과정을 가족구성원들이함께 체험하면서 자연스럽게 대화를 유도하는 ‘체험형 밥상머리교육 프로그램’을 오는 11월까지 10회 운영할 예정이다 또한 바른먹거리와 연계한 밥상머리교육 프로그램 및 자료를 개발하고 배포도 지원할 계획이다또한 풀무원재단은 지난 10월 12일 서울 강남구 수서동에 위치한 태화기독교사회복지관에서 지역주민 50여명을 대상으로 ‘내 가족의 건강을 위한 올바른 식품 선택’을 주제로 ‘바른먹거리 교육’을 진행했다 이 교육은 태화기독교사회복지관에서 운영하고 있는 사회교육 프로그램의 일환으로 풀무원의 기업 특성을 살린 재능기부 활동으로 진행됐다 오는 11월 9일에는 ‘바른먹거리’를 주제로 두번째 교육이 진행될 예정이다풀무원재단 담당자는 “‘바른먹거리 확인 캠페인’은 어린이들의 미래 건강과 직결되는 대표적인 먹거리 조기 교육 프로그램이자 필수 교육으로 자리매김하고 있다며 다양한 관계 기관과의 협조를 통해 ‘바른먹거리 확인 캠페인’이 유익하고 알찬 프로그램이 될 수 있도록 최선을 다하겠다고 밝혔다 지차수 선임기자 사진풀무원재단 제공 20121026155856 20210630130000 20121026021948 04 46 68 ⓒ 세계일보 무단전재 및 재배포 금지
159,세계일보,"풀무원, 교과부와 ‘밥상머리교육·바른먹거리 실천’ 캠페인",풀무원이 교육과학기술부와 함께 ‘밥상머리교육·바른먹거리 실천’ 캠페인에 나선다 풀무원은 7일 서울 종로구세종로 정부중앙청사에서 이 주호 교육과학기술부 장관 풀무원식품 이 효율 대표 국가평생교육진흥원 최 운실 원장 사회적 기업 ‘푸드포체인지 ’ 윤 석원 이사장중앙대 산업경제학과 교수 등이 참석한 가운데 ‘밥상머리교육·바른먹거리 실천을 위한 공동 업무협약’을 체결했다 이번 협약은 풀무원 등 4자간 상호 협력을 통해 바른먹거리에 대한 인식을 높이고 교과부가 인성교육을 위해 중점추진 중인 밥상머리교육을 범사회적으로 확산시키는 노력에 공동으로 협력한다는 내용을 담고 있다 즉 교과부의 밥상머리 교육 실천과 가정의 인성교육 회복 사업에 기업과 민간단체가 함께 협력한다는 교육기부사업 협약이다 교과부는 이번 협약을 통해 풀무원의 중장기 사회공헌 활동인 ‘바른먹거리 확인 캠페인’과 연계해 학부모와 자녀가 함께 참여할 수 있는 교육프로그램을 운영할 예정이다 올해의 경우 가족구성원들이 함께 참가해 식재료를 직접 구입해요리하고 밥상을 차리고 대화하는 체험형 밥상머리 교육 프로그램을 10회 운영할계획이다 또 학부모 학생 대상의 밥상머리교육과 바른먹거리 실천 교육을 위한 통합형 프로그램 및 교육 자료를 공동으로 개발하고 학생들의 올바른 품성 함양과 건강한 성장을 위해 밥상머리교육·바른먹거리 실천 교육 캠페인을 전개할 계획이다 이와 함께 다양한 네트워크를 통해 밥상머리교육에 대한 자료를 배포하고 직장으로 직접 찾아가 학부모들을 상대로 밥상머리 교육을 실시한다 실제로 교과부는 이날 서울 강남구 수서동 풀무원 본사 회의실에서 100여 명의 임직원이 참석한 가운데 ‘찾아가는 밥상머리교육’을 실시했다 이날 교육은 서울대 진미정 교수아동가족학과가 풀무원 임직원들을 상대로 밥상머리교육의 필요성과 효과 실천 지침에 대해 강의했다 이 주호 장관은 이날 인사말을 통해 “정부는학교폭력 예방을 위해 ‘학교폭력 근절 종합대책’의 지속적인 추진과 ‘인성이 진정한 실력이다’라는 슬로건 하에 21세기가 요구하는 실천중심의 차별화된 인성교육을 위해 노력하고 있다”며 “민간기업의 바른먹거리 교육과 연계한 밥상머리 교육은 가정의 교육적 회복 학부모들의 인식제고에 큰 도움이 될 것이며 이를 계기로 범사회적 노력으로 이어져 나갈 수 있기를 기대한다”고 밝혔다 이 효율 풀무원식품 대표는 “건강한 사회의 시작은 바른먹거리와 가정의 건전한 식사문화에서 비롯된다”며 “이번 협약을통한 바른먹거리 확인 캠페인과 밥상머리교육의 범사회적 확산으로 먹거리에 대한 중요성을 알릴 뿐만 아니라가족 간에 자연스럽게 소통하고 교류할 수 있는 건전한 가족문화가 조성돼 청소년들의 인성회복과 학교폭력 예방의 계기가 되기를 기대한다”고 말했다 한편 풀무원은 지난 2010년부터 어린이들에게 건강하고 안전한 식품 선택법을 알려주기 위한 사회공헌활동의 일환으로 ‘바른먹거리 확인 캠페인’을 펼치고 있다 지난해의 경우 초등학교와 유통매장을 중심으로 240여 차례에 걸쳐 바른먹거리 확인교육을 실시했다 올해는 교육범위를 초등학교뿐 아니라 대안학교와 지역아동센터 어린이집 등으로 넓히고 연령층도 초등학생에서 유아층으로 확대했다 교육인원도 지난해 2800명에서 3600명으로 늘렸다 지차수 선임기자 20120907132552 20210630130000 20120907021228 04 46 68 ⓒ 세계일보 무단전재 및 재배포 금지
160,세계일보,풀무원 ‘바른먹거리 확인 조기 교육’ 큰 호응,풀무원이 어린이들을 대상으로 한 ‘바른먹거리 확인 조기 교육’이 학교와 학부모들로부터 큰 호응을 얻고 있다 16일 풀무원에 따르면 지난 3월부터 바른먹거리 확인캠페인 교육을 실시하고 있는 서울시내 25개 초등학교 외에 추가로 전국 5대 광역시 및 수도권에서 지난 46월 3차례에 걸쳐 개인과 단체를 대상으로 바른먹거리 교육 신청을 접수한 결과 584건 1만2561명에 대한 교육요청이 몰렸다 바른먹거리 확인 교육 신청에는 주요 교육대상인 36학년 초등학생이 포함된 학교뿐 아니라 유치원 어린이도서관 복지관 지역아동센터 방과후 교실 학원 태권도체육관 등에서도 교육을 신청했다 학부모들의 호응도 높았다 풀무원은 이번 교육 대상에 포함되지 않은 강원 제주 경남 등 전국 곳곳에서 많은 교육신청이 몰려 평균 65대1의 경쟁률을 보이는 등 교육 수요를 감당할 수 없게 됨에 따라 내년부터 교육을 대폭 확대해나가기로 했다 ‘바른먹거리 확인 캠페인’은 풀무원이 지난 해부터 녹색소비자연대와 손잡고 어린이들이 어릴 적부터 올바른 식생활 습관을 형성할 수 있도록 초등학교 교실을 직접 찾아가 가르치는 어린이 조기 식생활 교육이다 이 교육은 전문강사가 자체 제작 교재를 바탕으로 바른먹거리의 개념과 식품첨가물 영양소 등 성분표시와 유통기한을 어떻게 읽는지 등을 가르치는 프로그램으로 짜여져 있다 교육신청 이유도 다양하다 경기도 평택지역의 초등학교 2학년 담임선생님은 “옛말에 ‘몸에 좋은 약은 입에 쓰다’는 말이 있었지만 이제는 ‘몸에 좋은 음식이 바로 몸에 좋은 약’”이라며 “아이들에게 새로운 음식의 세계를 알려줄 수 있도록 교육의 기회를 갖고 싶다”고 말했다 이효율 풀무원식품 사장은 “이제는 안전한 식품을 제조하는 것뿐 아니라 올바른 먹거리에 대한 소비자 인식을 높여나가는 것 역시 식품기업이 당연히 맡아야 할 사회적 공익적 책임”이라며 “해외처럼 식품교육을 초등학교 정규 교육과정으로 삼아 미래를 짊어질 아이들을 바른먹거리를 고를 수 있는 현명한 소비자로 키우는 노력이 결국은 건강한 국가로 가는 지름길이 될 것”이라고 말했다김기환 기자 20110616161810 20210630130000 20110616003591 04 46 68 ⓒ 세계일보 무단전재 및 재배포 금지
